Ligand,s641a_LGFE,s641a_LE,hERG_9CHQ_LGFE,9chq_LE,Nav1.5_6LQA_LGFE,6lqa_LE,Risk,optN_n_LGFE,TdP,hERG5_LGFE,Cav1.2_LGFE,optn_LE,cavRef_LE,MEOO,GEND,GEHC,hERG5_GENA,PRPC,hERG5_MAMN,BENC,ACEC,MAMC,FORC,MEOO9,GEND9,GEHC9,hERG9_GENA,PRPC9,hERG9_MAMN,hERG9_BENC,ACEC9,MAMC9,FORC9,Nav1.5_MEOO,GEND6,GEHC6,GENA6,PRPC6,Nav1.5_MAMN,Nav1.5_BENC,ACEC6,MAMC6,FORC6,MEOOs,GENDs,GEHCs,GENAs,PRPCs,hERGS_MAMN,BENCs,ACECs,MAMCs,MEOOc,Cav1.2_GEND,GEHCc,Cav1.2_GENA,PRPCc,Cav1.2_MAMN,BENCc,ACECc,MAMCc,MolWt,LogP,TPSA,NumHAcceptors,NumHDonors,NumRotatableBonds,RingCount,AromaticRingCount,FractionCSP3,HeavyAtomCount,BertzCT,BalabanJ,Kappa1,Kappa2,Kappa3,smiles
Isoflurane_PR_p,-2.757,-0.276,-3.909,-0.391,-6.249,-0.625,PR,-4.825,1,-4.825,-1.619,,,0,0,0,-3.12,-1.7,0,0,0,0,0,0,0,0,-2.88,-1.03,0,0,0,0,0,0,0,0,-3.84,-2.43,0,0,0,0,0,0,0,0,-0.91,-1.85,0,0,0,0,0,0,0,-0.6,-1.01,0,0,0,0,164.073,2.1764,9.23,1,0,2,0,0,1,10,159.811605,4.443936877,6.328472872,3.135756216,3.600317491,[H]C(F)(F)OC([H])(C)C(F)(F)F
Isradipine_PR_p,-7.951,-0.294,-5.876,-0.218,-13.804,-0.511,PR,-10.015,1,-9.851,-3.674,,,0,-0.66,-0.84,-3.99,-3.21,0,-1.13,0,0,0,0,-1.6,-0.5,-1.65,-1.14,0,-1,0,0,0,0,-1.1,-0.63,-5.59,-4.65,0,-1.78,0,0,0,0,-0.31,-1.48,-0.79,-3.78,0,-1.59,0,0,0,-0.97,-1.37,1.31,-1.54,0,-1.1,0,0,387.521,0.5001,104.24,8,5,11,3,0,1,27,1120.533046,2.503069218,7.128738594,9.00388438,4.328205894,[H]C1C([H])C2NONC2C(C2([H])C(C(O)OC([H])([H])[H])C(C([H])([H])[H])N([H])C(C([H])([H])[H])C2C(O)OC([H])(C([H])([H])[H])C([H])([H])[H])C1[H]
Itraconazole_CR_p,-11.995,-0.245,-10.324,-0.211,-23.021,-0.47,CR,-16.637,1,-17.041,-10.549,,,0,0,-0.83,-5.93,-3.4,0,-6.88,0,0,0,0,0,-0.52,-3.71,-1.09,0,-5.02,0,0,0,0,0,-1.1,-7.87,-4.4,0,-9.72,0,0,0,0,0,-1.14,-1.58,-3.63,0,-5.66,0,0,0,0,-0.67,-0.54,-2.53,0,-6.81,0,0,691.019,2.9059,100.21,12,4,13,7,0,1,49,2440.231845,1.206690504,12.79977714,16.67996989,8.517309471,[H]C1NC([H])N(C([H])([H])C2(C3C([H])C([H])C(C)C([H])C3C)OC([H])([H])C([H])(C([H])([H])OC3C([H])C([H])C(N4C([H])([H])C([H])([H])N(C5C([H])C([H])C(N6C([H])NN(C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C6O)C([H])C5[H])C([H])([H])C4([H])[H])C([H])C3[H])O2)N1
Ivosidenib_PR_p,-11.128,-0.271,-7.03,-0.171,-17.746,-0.433,PR,-14.279,1,-14.287,-2.824,,,0,-0.49,-1.15,-4.83,-2.67,0,-5.12,0,0,0,0,-0.34,-0.93,-2.19,-1.04,0,-2.55,0,0,0,0,-0.5,-1.2,-6.65,-4.56,0,-4.79,0,0,0,0,0.02,-1.79,-1.47,-2.4,0,-5.49,0,0,0,1.3,0.42,0.47,-1.34,0,-3.66,0,0,590.776,1.2746,129.28,9,7,10,5,0,1,41,1664.225485,1.912120159,14.24389589,13.60234248,7.226790659,[H]C1NC(N2C(O)C([H])([H])C([H])([H])C2([H])C(O)N(C2C([H])NC([H])C(F)C2[H])C([H])(C2C([H])C([H])C([H])C([H])C2C)C(O)N([H])C2([H])C([H])([H])C(F)(F)C2([H])[H])C([H])C(CN)C1[H]
Ketanserin_PR_p,-9.12,-0.314,-9.382,-0.324,-17.827,-0.615,PR,-11.938,1,-14.134,-8.454,,,0,-0.48,-0.34,-1.47,-2,-5.2,-4.59,0,0,0,0,-0.5,0.05,-1.43,0,-1.8,-5.73,0,0,0,0,-0.53,-0.51,-3.23,-1.62,-3.6,-8.32,0,0,0,0,-0.31,-1.02,-0.45,-2.9,-0.21,-4.25,0,0,0,-0.9,-0.46,0.07,-0.76,-1.5,-4.92,0,0,414.586,0.2288,80.4,5,5,5,4,0,1,29,1325.376281,1.919701767,7.354626343,9.876416447,5.129180783,[H]C1C([H])C([H])C2C(C1[H])C(O)N(C([H])([H])C([H])([H])[N+]1([H])C([H])([H])C([H])([H])C([H])(C(O)C3C([H])C([H])C(F)C([H])C3[H])C([H])([H])C1([H])[H])C(O)N2[H]
Ketoconazole_CR_p,-11.314,-0.314,-8.987,-0.25,-19.298,-0.536,CR,-13.15,1,-13.34,-9.262,,,0,0,-0.63,-4.47,-3.3,0,-4.93,0,0,0,0,0,-0.31,-2.77,-2.25,0,-3.66,0,0,0,0,0,-1.06,-4.81,-6.16,0,-7.26,0,0,0,0,0,-1.61,-0.51,-2.7,0,-6.48,0,0,0,0,-1.99,-0.31,-2.33,0,-4.61,0,0,508.748,2.3168,69.67,8,2,9,5,0,1,36,1675.643253,1.582814528,9.368333082,12.24513483,6.449522467,[H]C1NC([H])N(C([H])([H])C2(C3C([H])C([H])C(C)C([H])C3C)OC([H])([H])C([H])(C([H])([H])OC3C([H])C([H])C(N4C([H])([H])C([H])([H])N(C(O)C([H])([H])[H])C([H])([H])C4([H])[H])C([H])C3[H])O2)C1[H]
Lacidipine_PR_p,-8.928,-0.271,-7.38,-0.224,-14.688,-0.445,PR,-11.394,1,-11.504,-5.017,,,0,-0.2,-0.24,-3.91,-5.7,0,-1.45,0,0,0,0,-0.25,0.03,-1.8,-2.71,0,-2.65,0,0,0,0,-0.24,-0.39,-3.72,-5.48,0,-4.89,0,0,0,0,-0.17,-0.43,-1.25,-3.52,0,-3.57,0,0,0,-0.45,-0.13,0.57,-2.76,0,-2.26,0,0,473.695,3.6451,100.41,7,4,15,2,0,1,33,1527.801618,3.352080056,7.395500607,13.14542802,8.125660911,[H]C(C(O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])C1C([H])C([H])C([H])C([H])C1C1([H])C(C(O)OC([H])([H])C([H])([H])[H])C(C([H])([H])[H])N([H])C(C([H])([H])[H])C1C(O)OC([H])([H])C([H])([H])[H]
Lansoprazole_CR_p,-7.822,-0.313,-6.559,-0.262,-13.144,-0.526,CR,-9.218,1,-9.15,-4.741,,,0,-0.46,-0.88,-2.79,-1.84,0,-3.18,0,0,0,0,-0.45,0.21,-1.64,-1.37,0,-3.31,0,0,0,0,-1.4,-1.78,-3.76,-1.35,0,-4.87,0,0,0,0,-0.29,-1.8,-0.69,-1.41,0,-3.63,0,0,0,-0.9,-0.61,-0.17,-0.92,0,-2.16,0,0,385.496,2.1937,65.55,5,5,6,3,0,1,25,893.2747676,1.985863694,8.528036778,8.308432174,5.230114804,[H]C1NC(C([H])([H])[SH](O)C2NC3C([H])C([H])C([H])C([H])C3N2[H])C(C([H])([H])[H])C(OC([H])([H])C(F)(F)F)C1[H]
Lapatinib_PR_p,-11.721,-0.293,-12.445,-0.311,-24.743,-0.619,PR,-15.029,1,-18.017,-7.852,,,0,-0.26,-0.36,-3.42,-1.52,-5.2,-7.21,0,0,0,0,-0.5,-0.01,-2.75,-1.21,-1.1,-6.85,0,0,0,0,-0.69,-1.02,-5.89,-2.76,-3.1,-11.27,0,0,0,0,-0.04,-1.64,-0.55,-0.72,-0.7,-8.09,0,0,0,0.65,-0.78,-0.15,-1.05,-0.6,-5.91,0,0,589.883,3.4308,111.62,7,6,12,5,0,1,40,1723.694424,1.431170088,12.04581426,14.62340599,8.987113297,[H]C1NC2C([H])C([H])C(C3OC(C([H])([H])[N+]([H])([H])C([H])([H])C([H])([H])S(O)(O)C([H])([H])[H])C([H])C3[H])C([H])C2C(N([H])C2C([H])C([H])C(OC([H])([H])C3C([H])C([H])C([H])C(F)C3[H])C(C)C2[H])N1
Lenvatinib_PR_p,-8.668,-0.289,-8.474,-0.282,-16.544,-0.551,PR,-12.522,1,-12.213,-4.74,,,0,-1.34,-0.34,-3.85,-1.5,0,-5.18,0,0,0,0,-3.42,-0.24,-1.6,-0.66,0,-2.52,0,0,0,0,-1.96,-0.26,-3.03,-2.99,0,-8.24,0,0,0,0,-0.28,-0.52,-0.85,-1.4,0,-5.64,0,0,0,1.2,-0.34,0.14,-0.9,0,-4.86,0,0,426.602,0.2265,121.03,8,6,10,4,0,1,30,1149.865057,1.615546164,9.14065212,10.08438979,5.531973708,[H]C1NC2C([H])C(OC([H])([H])[H])C(C(O)N([H])[H])C([H])C2C(OC2C([H])C([H])C(N([H])C(O)N([H])C3([H])C([H])([H])C3([H])[H])C(C)C2[H])C1[H]
Levofloxacin_KR_p,-8.408,-0.323,-8.148,-0.313,-15.136,-0.582,KR,-9.714,1,-12.331,-6.439,,,0,0,-0.38,-1.99,-2.48,-5.2,-2.09,-0.14,0,0,0,0,-0.28,-0.77,-1.33,-1.4,-1.97,-2.4,0,0,0,0,-0.43,-2.81,-3.85,-3.3,-3.77,-0.93,0,0,0,0,-0.78,-0.67,-3.26,-0.59,-2.65,-0.45,0,0,0,0.2,-0.05,-1.78,-1.6,-1.57,-1.6,0,374.477,-2.6974,80.84,6,4,4,4,0,1,26,1193.230825,2.066775542,6.584996182,7.236202598,3.091187917,[H]C1C(F)C(N2C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])C2([H])[H])C2OC([H])([H])C([H])(C([H])([H])[H])N3C([H])C(C(O)O)C(O)C1C23
Levoketoconazole_PR_p,-10.516,-0.292,-9.417,-0.262,-19.683,-0.547,PR,-13.131,1,-12.972,-9.14,,,0,0,-0.49,-4.68,-3.6,0,-4.16,0,0,0,0,0,-0.08,-2.76,-2.43,0,-4.16,0,0,0,0,0,-1.4,-5.32,-5.15,0,-7.81,0,0,0,0,0,-1.51,-0.36,-2.1,0,-6.58,0,0,0,0,-1.86,-0.16,-2.32,0,-4.78,0,0,508.748,2.3168,69.67,8,2,9,5,0,1,36,1675.643253,1.582814528,9.368333082,12.24513483,6.449522467,[H]C1NC([H])N(C([H])([H])C2(C3C([H])C([H])C(C)C([H])C3C)OC([H])([H])C([H])(C([H])([H])OC3C([H])C([H])C(N4C([H])([H])C([H])([H])N(C(O)C([H])([H])[H])C([H])([H])C4([H])[H])C([H])C3[H])O2)C1[H]
Levosulpiride_KR_p,-7.731,-0.336,-8.183,-0.356,-16.388,-0.713,KR,-10.546,1,-13.544,-5.698,,,0,-1.13,0,-2.65,-2.21,-4.9,-2.66,0,0,0,0,-1.52,0,-2.26,-2.36,-1.2,-0.81,0,0,0,0,-1.74,0,-2.85,-4.88,-2.8,-4.21,0,0,0,0,-0.34,0,-0.78,-2.36,-1.7,-2.54,0,0,0,0.41,0,-0.23,-1.65,-1,-3.21,0,0,352.521,-0.2304,112.41,6,6,10,2,0,1,23,1171.508744,2.958587331,4.862997167,8.440868554,5.022871342,[H]C1C([H])C(S(O)(O)N([H])[H])C([H])C(C(O)N([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])[N+]2([H])C([H])([H])C([H])([H])[H])C1OC([H])([H])[H]
Lisdexamfetamine_SR_p,-8.164,-0.43,-9.117,-0.48,-17.163,-0.903,SR,-9.132,1,-15.99,-9.195,,,0,-0.24,0,-0.42,-1.4,-10.8,-3.21,0,0,0,0,-0.42,0,-0.37,-0.92,-4.2,-3.18,0,0,0,0,-0.83,0,-0.57,-5.15,-6.2,-4.35,0,0,0,0,-0.14,0,-0.07,-2.47,-2.6,-2.87,0,0,0,-0.9,0,-0.12,-0.95,-4.3,-2.98,0,0,273.465,0.276,87.54,2,4,12,1,0,1,19,1071.723643,4.131928815,2.853523021,9.698103735,7.254408738,[H]C1C([H])C([H])C(C([H])([H])C([H])(N([H])C(O)C([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])[N+]([H])([H])[H])C([H])([H])[H])C([H])C1[H]
Lofexidine_PR_p,-5.113,-0.32,-5.619,-0.351,-11.407,-0.713,PR,-8.935,1,-7.997,-5.648,,,0,0,0,-1.39,-1.06,0,-1.9,0,-3.6,0,0,0,0,-1.1,-1.17,0,-2.46,0,-0.89,0,0,0,0,-2.04,-1.56,0,-4.32,0,-3.5,0,0,0,0,-0.42,-0.65,0,-3.99,0,-0.02,0,0,0,0.05,-0.44,0,-2.92,0,-2.3,226.364,1.7351,33.29,3,2,4,2,0,1,16,582.0059719,2.522529062,3.938176481,5.476080493,2.760748306,[H]C1C([H])C(C)C(OC([H])(C2N([H])C([H])([H])C([H])([H])N2[H])C([H])([H])[H])C(C)C1[H]
Loperamide_CR_p,-9.63,-0.283,-9.12,-0.268,-17.972,-0.529,CR,-12.186,1,-12.309,-9.659,,,-0.53,0,-0.08,-0.08,-2.44,-5.2,-3.95,0,0,0,-0.1,0,0.47,-0.94,-0.26,-2.5,-5.76,0,0,0,0.06,0,-0.05,-1.48,-2.39,-2.3,-11.76,0,0,0,-0.49,0,-0.21,-0.24,-2.68,-0.48,-5.53,0,0,-0.2,0,-0.08,-0.04,-1.29,-0.46,-7.57,0,0,477.798,4.6396,48.14,3,3,11,4,0,1,34,1687.873379,2.372816231,7.272429942,11.92404616,5.867716876,[H]OC1(C2C([H])C([H])C(C)C([H])C2[H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C([H])([H])C(C2C([H])C([H])C([H])C([H])C2[H])(C2C([H])C([H])C([H])C([H])C2[H])C(O)N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H]
Lumateperone_PR_p,-8.964,-0.309,-8.648,-0.298,-18.035,-0.622,PR,-12.795,1,-13.797,-8.407,,,0,-0.44,-0.12,-2.13,-2.56,-5.2,-3.29,0,0,0,0,0.07,0.03,-2.16,-1.15,-1.8,-3.65,0,0,0,0,-0.73,-0.44,-3.13,-2.82,-3.6,-7.41,0,0,0,0,-0.12,-0.48,-0.2,-3.12,-0.48,-4.56,0,0,0,-0.9,-0.45,0.12,-0.71,-2,-4.49,0,0,408.626,1.7275,31.15,3,2,6,5,0,1,29,1634.243031,1.835511269,5.814821917,8.720916726,4.015408607,[H]C1C([H])C2C3C(C1[H])C1([H])C([H])(N3C([H])([H])C([H])([H])N2C([H])([H])[H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C([H])([H])C([H])([H])C(O)C2C([H])C([H])C(F)C([H])C2[H])C1([H])[H]
Lumefantrine_PR_p,-9.988,-0.285,-10.853,-0.31,-18.444,-0.527,PR,-12.429,1,-14.304,-8.795,,,-0.2,0,0.33,-2.52,-1.26,-6.2,-4.44,0,0,0,0.13,0,-0.21,-1.21,-2.34,-1.1,-6.15,0,0,0,-0.64,0,0.07,-1.93,-3.63,-3.3,-8.96,0,0,0,-0.26,0,-1.05,-0.08,-3.08,-0.59,-4.94,0,0,-0.53,0,-0.24,-0.06,-2.17,-0.28,-5.54,0,0,488.865,7.0095,24.67,1,2,14,4,0,1,35,1741.123822,2.209250141,7.988191513,13.12610354,6.871382984,[H]OC([H])(C1C([H])C(C)C([H])C2C(C([H])C3C([H])C([H])C(C)C([H])C3[H])C3C([H])C(C)C([H])C([H])C3C21)C([H])([H])[N+]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
Lurasidone_PR_p,-11.172,-0.319,-8.269,-0.236,-19.82,-0.566,PR,-13.778,1,-15.067,-6.186,,,0,0,-0.91,-1.3,-6.77,-4.1,-2.02,0,0,0,0,0,-0.18,-1.1,-3.84,-1.5,-1.65,0,0,0,0,0,-1.01,-2,-10.73,-3.3,-2.74,0,0,0,0,0,-1.69,-0.29,-7.23,-0.56,-1.4,0,0,0,0,-1.83,0.01,-1.72,-0.98,-1.66,0,0,505.793,1.7443,63.41,6,4,5,7,0,1,35,2232.477453,1.539034219,6.695468831,10.01326047,4.331280909,[H]C1C([H])C([H])C2C(SNC2N2C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])C([H])([H])N3C(O)C4([H])C([H])(C3O)C3([H])C([H])([H])C([H])([H])C4([H])C3([H])[H])C([H])([H])C2([H])[H])C1[H]
Maprotiline_PR_p,-9.523,-0.453,-8.92,-0.425,-15.577,-0.742,PR,-9.422,1,-12.594,-7.825,,,0,0,0,0,-1.6,-6.2,-4.75,0,0,0,0,0,0,0,-1.9,-1.2,-5.81,0,0,0,0,0,0,0,-4.29,-3.6,-7.7,0,0,0,0,0,0,0,-2.57,-1.7,-5.23,0,0,0,0,0,0,-1.79,-1.8,-4.2,0,0,290.515,3.9826,16.61,0,1,5,5,0,1,21,1141.67951,2.254394919,3.630396028,5.870760385,2.211206588,[H]C1C([H])C([H])C2C(C1[H])C1([H])C3C([H])C([H])C([H])C([H])C3C2(C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H]
Mavorixafor_PR_p,-8.64,-0.332,-8.207,-0.316,-17.782,-0.684,PR,-10.754,1,-15.546,-7.825,,,0,-0.63,-0.73,-0.8,-1.11,-10.4,-1.86,0,0,0,0,-0.48,0.21,-0.48,-1.13,-3.5,-2.82,0,0,0,0,-0.68,-1.18,-1.71,-1.76,-8,-4.46,0,0,0,0,-0.28,-1.67,-0.14,-2.58,-1.59,-2.33,0,0,0,-0.9,-0.41,-0.12,-1.34,-3.9,-1.21,0,0,365.61,-0.3558,68.17,3,5,8,4,0,1,26,1474.409189,2.198258872,4.749713246,9.331299819,4.437913223,[H]C1NC2C(C([H])C1[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[N+]([H])(C([H])([H])C1NC2C([H])C([H])C([H])C([H])C2N1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]
Melperone_PR_p,-7.924,-0.417,-8.334,-0.439,-14.645,-0.771,PR,-9.267,1,-12.989,-6.977,,,0,0,0,-1.3,-2.45,-6.2,-2.99,0,0,0,0,0,0,-1.17,-2.37,-1.7,-3.1,0,0,0,0,0,0,-1.5,-5.32,-3.1,-4.71,0,0,0,0,0,0,-0.14,-3.05,-1.6,-3.1,0,0,0,0,0,-0.11,-2.26,-1.6,-2.96,0,0,272.428,1.9706,24.67,1,2,6,2,0,1,19,999.9813322,2.886558896,3.271042169,7.584325019,5.03278158,[H]C1C([H])C(C(O)C([H])([H])C([H])([H])C([H])([H])[N+]2([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C2([H])[H])C([H])C([H])C1F
Mesoridazine_KR_p,-8.954,-0.344,-9.195,-0.354,-16.996,-0.654,KR,-11.167,1,-14.033,-8.136,,,0,0,0,-1.61,-2.69,-5.2,-4.49,0,0,0,0,0,0,-0.26,-2.43,-1.2,-5.25,0,0,0,0,0,0,-1.1,-6.31,-2.5,-7.04,0,0,0,0,0,0,-0.38,-3.3,-0.48,-4.81,0,0,0,0,0,0.06,-0.92,-1.8,-5.52,0,0,401.706,3.1974,27.91,3,3,6,4,0,1,26,1413.358714,2.140972071,5.432880727,8.939131525,4.269171424,[H]C1C([H])C([H])C2C(SC3C([H])C([H])C([SH](O)C([H])([H])[H])C([H])C3N2C([H])([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]2([H])C([H])([H])[H])C1[H]
Methadone_KR_p,-8.366,-0.364,-7.881,-0.343,-13.218,-0.575,KR,-9.321,1,-11.602,-6.867,,,0,0,0,-0.4,-2.28,-5.2,-3.69,0,0,0,0,0,0,-0.12,-0.26,-2.3,-5.16,0,0,0,0,0,0,-0.33,-1.1,-3.8,-8,0,0,0,0,0,0,-0.08,-2.27,-0.98,-5.04,0,0,0,0,0,0.02,-1.09,-1.8,-4,0,0,324.573,3.8274,24.67,1,2,11,2,0,1,23,1144.693528,3.652212522,4.085322494,8.852058128,4.310619833,[H]C1C([H])C([H])C(C(C2C([H])C([H])C([H])C([H])C2[H])(C(O)C([H])([H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])C([H])C1[H]
Methylphenidate_SR_p,-6.188,-0.364,-6.74,-0.396,-11.983,-0.705,SR,-7.887,1,-10.809,-5.642,,,0,0,0,-0.86,-1.72,-6.2,-2.01,0,0,0,0,0,0,-0.86,-0.8,-1.8,-3.25,0,0,0,0,0,0,-1.12,-4.07,-2.6,-4.17,0,0,0,0,0,0,-0.28,-1.48,-0.98,-3.44,0,0,0,0,0,-0.07,-0.83,-1.8,-2.99,0,0,242.383,1.2636,46.07,2,2,5,2,0,1,17,831.5980911,3.097395464,2.966562468,6.716520123,3.426638137,[H]C1C([H])C([H])C(C([H])(C(O)OC([H])([H])[H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]2([H])[H])C([H])C1[H]
Metoclopramide_CR_p,-7.537,-0.377,-7.677,-0.384,-14.921,-0.746,CR,-9.79,1,-12.535,-5.332,,,0,-0.49,0,-2.29,-1.87,-5.2,-2.65,0,0,0,0,-1.27,0,-1.58,-2.22,-0.21,-2.44,0,0,0,0,-1.53,0,-1.8,-4.46,-2.8,-4.43,0,0,0,0,-0.29,0,-0.44,-2,-1.7,-3.11,0,0,0,0.51,0,0.07,-1.69,-1,-3.22,0,0,288.456,-0.7925,71.95,4,4,12,1,0,1,20,939.0848701,3.940108544,3.820263778,8.94866895,4.968031328,[H]C1C(C)C(N([H])[H])C([H])C(OC([H])([H])[H])C1C(O)N([H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
Metolazone_CR_p,-7.625,-0.318,-8.585,-0.358,-14.138,-0.589,CR,-9.745,1,-9.871,-6.041,,,0,-1.15,-0.1,-2.66,-1.21,0,-4.74,0,0,0,0,-1.35,-0.07,-1.63,-0.67,0,-4.91,0,0,0,0,-1.67,-0.29,-3.73,-1.45,0,-7.03,0,0,0,0,-0.51,-0.32,-0.38,-0.73,0,-5.68,0,0,0,-0.76,-0.31,0.29,-0.59,0,-4.67,0,0,361.552,2.5423,101.98,6,5,5,3,0,1,24,933.3301307,2.306392405,7.261504628,7.022182411,3.493112769,[H]C1C([H])C([H])C(C([H])([H])[H])C(N2C(O)C3C([H])C(S(O)(O)N([H])[H])C(C)C([H])C3N([H])C2([H])C([H])([H])[H])C1[H]
Metronidazole_CR_p,-4.427,-0.369,-3.057,-0.255,-7.13,-0.594,CR,-5.361,1,-5.361,-3.887,,,-0.6,0,-0.76,-2.31,-1.69,0,0,0,0,0,-0.3,0,-0.47,-1.96,-0.33,0,0,0,0,0,-1.2,0,-0.99,-2.52,-2.38,0,0,0,0,0,-0.62,0,-1.62,-0.51,-1.68,0,0,0,0,-1.1,0,-1.86,-0.11,-0.78,0,0,0,0,177.204,-1.3636,79.2,6,4,5,1,0,1,12,378.229827,3.342646468,3.15920033,4.126667526,1.918156993,[H]OC([H])([H])C([H])([H])N1C(N(O)O)C([H])NC1C([H])([H])[H]
Mianserin_PR_p,-7.481,-0.374,-8.022,-0.401,-13.892,-0.695,PR,-8.893,1,-11.263,-7.076,,,0,0,0,-0.24,-1.66,-6.2,-3.13,0,0,0,0,0,0,-0.41,-1.14,-1,-5.44,0,0,0,0,0,0,-0.81,-2.8,-2.8,-7.45,0,0,0,0,0,0,-0.06,-1.42,-0.66,-5.36,0,0,0,0,0,-0.05,-0.81,-1.8,-4.47,0,0,277.476,1.9542,7.68,1,1,1,4,0,1,20,1051.908242,2.244888853,3.6966381,5.606314922,2.330358383,[H]C1C([H])C([H])C2C(C1[H])N1C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])C1([H])C1C([H])C([H])C([H])C([H])C1C2([H])[H]
Midodrine_SR_p,-7.927,-0.44,-8.257,-0.459,-14.177,-0.788,SR,-8.88,1,-12.91,-6.985,,,-0.43,-0.47,0,-1.42,-1.96,-6.2,-2.41,0,0,0,-0.26,-0.45,0,-1.47,-1.31,-1.7,-3.03,0,0,0,-0.4,-0.47,0,-2.09,-1.81,-4.9,-4.47,0,0,0,-0.4,-0.1,0,-0.53,-2.08,-1.7,-3.11,0,0,-0.25,-0.77,0,0.1,-0.6,-2.8,-2.68,0,0,263.358,-1.6727,98.59,5,4,11,1,0,1,18,775.6275471,3.761134022,3.691815464,8.036036953,4.455433896,[H]OC([H])(C1C([H])C(OC([H])([H])[H])C([H])C([H])C1OC([H])([H])[H])C([H])([H])N([H])C(O)C([H])([H])[N+]([H])([H])[H]
Midostaurin_PR_p,-11.037,-0.257,-7.098,-0.165,-16.379,-0.381,PR,-13.699,1,-13.699,-5.604,,,0,-0.83,-1.45,-2,-1.65,0,-7.74,0,0,0,0,-1.7,-0.51,-0.49,-0.64,0,-3.76,0,0,0,0,-0.7,-1.03,-2.72,-3.21,0,-8.73,0,0,0,0,-0.14,-1.08,-0.04,-2.38,0,-7.42,0,0,0,-0.81,1.23,0.41,-0.5,0,-5.87,0,0,598.873,3.5627,80.67,8,3,7,9,0,1,43,2156.025016,1.484532183,11.39063806,10.59638721,3.902339353,[H]C1C([H])C([H])C(C(O)N(C([H])([H])[H])C2([H])C([H])([H])C3([H])OC(C([H])([H])[H])(N4C5C([H])C([H])C([H])C([H])C5C5C4C4C(C6C([H])C([H])C([H])C([H])C6N43)C3C(O)N([H])C([H])([H])C35)C2([H])OC([H])([H])[H])C([H])C1[H]
Mifepristone_PR_p,-10.108,-0.316,-8.203,-0.256,-16.703,-0.522,PR,-10.928,1,-10.934,-6.99,,,-0.32,0,0,-1.27,-7.97,0,-1.39,0,0,0,-0.52,0,0,0.32,-4.74,0,-3.25,0,0,0,-0.48,0,0,-1.01,-12.94,0,-2.27,0,0,0,-0.64,0,0,-0.26,-7.75,0,-1.47,0,0,-0.43,0,0,0.74,-5.09,0,-2.22,0,0,445.732,5.8776,43.7,3,2,9,5,0,1,32,1898.722732,2.184434329,6.050976667,8.829287998,3.717228883,[H]OC1(CCC([H])([H])[H])C([H])([H])C([H])([H])C2([H])C3([H])C(C4C(C([H])C(O)C([H])([H])C4([H])[H])C([H])([H])C3([H])[H])C([H])(C3C([H])C([H])C(N(C([H])([H])[H])C([H])([H])[H])C([H])C3[H])C([H])([H])C12C([H])([H])[H]
Mirabegron_PR_p,-10.327,-0.369,-8.693,-0.31,-18.418,-0.658,PR,-11.761,1,-15.398,-9.606,,,-0.49,-1.35,-0.55,-1.3,-1.82,-6.2,-3.64,0,0,0,-0.13,-2.12,-0.31,-0.84,-0.85,-0.97,-3.47,0,0,0,-0.61,-1.52,-0.37,-1.43,-3.1,-3.3,-8.03,0,0,0,0.14,-0.41,-0.9,-0.24,-1.09,-1.1,-6.72,0,0,-0.38,-1.33,-0.83,-0.08,-1.17,-1.6,-4.15,0,0,415.668,0.6853,107.15,6,6,12,3,0,1,28,1247.528252,1.996634627,6.802351329,12.08280118,7.743014148,[H]OC([H])(C1C([H])C([H])C([H])C([H])C1[H])C([H])([H])[N+]([H])([H])C([H])([H])C([H])([H])C1C([H])C([H])C(N([H])C(O)C([H])([H])C2NC(N([H])[H])SC2[H])C([H])C1[H]
